날짜,두바이_종가
20220809,95.97
20220808,96.04
20220807,94.41
20220806,94.41
20220805,94.41
20220804,94.08
20220803,95.97
20220802,99.4
20220801,97.87
20220731,101.52
20220730,101.52
20220729,101.52
20220728,99.7
20220727,99.27
20220726,97.48
20220725,98.13
20220724,102.32
20220723,102.32
20220722,102.32
20220721,102.55
20220720,103.54
20220719,103.78
20220718,103.58
20220717,101.03
20220716,101.03
20220715,101.03
20220714,99.7
20220713,100
20220712,99.14
20220711,104.28
20220710,104.22
20220709,104.22
20220708,104.22
20220707,102.02
20220706,98.98
20220705,100.73
20220704,107.89
20220703,107.89
20220702,107.89
20220701,107.89
20220630,104.83
20220629,108.17
20220628,109.64
20220627,106.83
20220626,104.64
20220625,104.64
20220624,104.64
20220623,102.17
20220622,112.34
20220621,113.34
20220620,112.72
20220619,112.72
20220618,112.72
20220617,112.72
20220616,115.34
20220615,114.35
20220614,115.71
20220613,116.64
20220612,116.67
20220611,116.67
20220610,116.67
20220609,117.09
20220608,117.5
20220607,115.29
20220606,114.01
20220605,113.83
20220604,113.83
20220603,113.83
20220602,112.02
20220601,110.91
20220531,110.58
20220530,110.86
20220529,110.86
20220528,110.86
20220527,110.86
20220526,109.78
20220525,106.92
20220524,106.31
20220523,107.32
20220522,107.21
20220521,107.21
20220520,107.21
20220519,106.99
20220518,105.53
20220517,106.88
20220516,108.4
20220515,107.23
20220514,107.23
20220513,107.23
20220512,104.66
20220511,104.56
20220510,100.43
20220509,102.79
20220508,107.57
20220507,107.57
20220506,107.57
20220505,106.4
20220504,105.97
20220503,103.39
20220502,103.86
20220501,103.42
20220430,103.42
20220429,103.42
20220428,103.94
20220427,101.51
20220426,101.24
20220425,98.69
20220424,103.43
20220423,103.43
20220422,103.43
20220421,103.85
20220420,103.12
20220419,103.09
20220418,105.44
20220417,104.82
20220416,104.82
20220415,104.82
20220414,104.82
20220413,103.7
20220412,101.49
20220411,97.02
20220410,99.72
20220409,99.72
20220408,99.72
20220407,98.42
20220406,98.81
20220405,103.27
20220404,104.77
20220403,101.85
20220402,101.85
20220401,101.85
20220331,101.87
20220330,108.13
20220329,103.81
20220328,105.53
20220327,113.39
20220326,113.39
20220325,113.39
20220324,110.72
20220323,112.59
20220322,111.43
20220321,111.73
20220320,108.99
20220319,108.99
20220318,108.99
20220317,108.78
20220316,104.89
20220315,105.76
20220314,109.18
20220313,112.59
20220312,112.59
20220311,112.59
20220310,110.2
20220309,110.86
20220308,122.53
20220307,118.18
20220306,114.95
20220305,114.95
20220304,114.95
20220303,106.58
20220302,109.4
20220301,102
20220228,95.36
20220227,91.6
20220226,91.6
20220225,91.6
20220224,92.99
20220223,92.16
20220222,91.9
20220221,90.9
20220220,90.9
20220219,90.9
20220218,90.9
20220217,90.67
20220216,91.56
20220215,90.86
20220214,92.61
